File,SOH,seg_id,direction,I_A,C_rate,step_dur_s,OCV_V,R0_ohm,R1_ohm,tau1_s,C1_F,R2_ohm,tau2_s,C2_F,V1_0_mV,V2_0_mV,R0_jump_ohm,R0_consistent,rmse_mV,degenerate,n_points
cell003_cyc,NA,206,DCH,-1.408,-0.469,4320.3,3.5617,0.01977,0.01367,32.403,2371.0,0.00838,252.95,30199.1,-19.24,-11.79,0.01752,False,0.218,False,905
cell003_cyc,NA,208,CHA,1.408,0.469,4320.4,4.1067,0.02776,0.02244,27.765,1237.5,0.01598,235.07,14710.1,31.59,22.5,0.02383,False,0.374,False,907
cell003_cyc,NA,210,DCH,-1.408,-0.469,4320.5,3.5616,0.01945,0.01371,30.705,2240.0,0.00861,243.17,28254.6,-19.3,-12.12,0.01752,True,0.242,False,906
cell003_cyc,NA,212,CHA,1.408,0.469,4319.1,4.1066,0.02797,0.02237,27.934,1248.5,0.01599,236.23,14769.9,31.51,22.52,0.02376,False,0.369,False,907
cell003_cyc,NA,214,DCH,-1.408,-0.469,4320.4,3.5612,0.01959,0.01362,31.235,2293.7,0.00848,246.71,29109.2,-19.18,-11.93,0.01752,False,0.227,False,905
cell003_cyc,NA,216,CHA,1.408,0.469,4320.3,4.1066,0.02742,0.02259,26.596,1177.1,0.01629,230.77,14169.9,31.82,22.93,0.0236,False,0.41,False,909
cell003_cyc,NA,218,DCH,-1.408,-0.469,4320.3,3.5611,0.01975,0.01356,31.78,2343.2,0.00841,249.8,29690.0,-19.1,-11.85,0.0176,False,0.22,False,905
cell003_cyc,NA,220,CHA,1.408,0.469,4319.0,4.1065,0.02794,0.02241,27.709,1236.4,0.01604,235.16,14660.1,31.56,22.59,0.02368,False,0.373,False,908
cell003_cyc,NA,222,DCH,-1.408,-0.469,4320.3,3.5607,0.01956,0.01356,30.922,2280.5,0.00849,247.09,29096.4,-19.09,-11.96,0.01752,False,0.229,False,905
cell003_cyc,NA,224,CHA,1.408,0.469,4322.6,4.1067,0.02784,0.02237,27.503,1229.7,0.01608,234.57,14592.0,31.49,22.64,0.02376,False,0.37,False,907
cell003_cyc,NA,226,DCH,-1.408,-0.469,4320.4,3.561,0.01954,0.01359,30.858,2270.5,0.00852,244.52,28711.6,-19.14,-11.99,0.0176,True,0.234,False,905
cell003_cyc,NA,228,CHA,1.408,0.469,4317.1,4.1065,0.02814,0.02229,28.18,1264.3,0.01592,236.72,14870.1,31.39,22.42,0.02383,False,0.366,False,907
cell003_cyc,NA,230,DCH,-1.408,-0.469,4320.4,3.5602,0.01966,0.01351,31.287,2315.1,0.00836,249.78,29861.9,-19.03,-11.78,0.0176,False,0.223,False,905
cell003_cyc,NA,232,CHA,1.408,0.469,4321.5,4.1065,0.02818,0.0223,28.152,1262.5,0.01593,237.47,14905.4,31.4,22.44,0.02376,False,0.371,False,908
cell003_cyc,NA,234,DCH,-1.408,-0.469,4320.3,3.5603,0.01977,0.01356,31.792,2345.0,0.00827,252.39,30504.7,-19.09,-11.65,0.01767,False,0.222,False,905
cell003_cyc,NA,236,CHA,1.408,0.469,4318.4,4.1064,0.02781,0.0225,27.175,1207.6,0.01614,232.63,14409.8,31.69,22.73,0.02376,False,0.39,False,908
cell003_cyc,NA,238,DCH,-1.408,-0.469,4320.2,3.5599,0.01981,0.01344,31.88,2372.0,0.00827,253.81,30699.2,-18.93,-11.64,0.01767,False,0.213,False,905
cell003_cyc,NA,240,CHA,1.408,0.469,4322.2,4.1065,0.028,0.0224,27.851,1243.3,0.01598,236.0,14772.5,31.54,22.5,0.02391,False,0.369,False,907
cell003_cyc,NA,242,DCH,-1.408,-0.469,4320.4,3.5601,0.01951,0.01349,30.54,2263.1,0.00844,246.85,29257.1,-19.0,-11.88,0.01752,False,0.224,False,905
cell003_cyc,NA,244,CHA,1.408,0.469,4318.4,4.1065,0.02809,0.02235,27.819,1244.7,0.01598,234.97,14706.1,31.47,22.5,0.02383,False,0.372,False,907
